light_id,light_x,light_y
1,15,15.7
2,20.3,15.7
3,25.7,15.7
4,31.1,15.7
5,36.5,15.7
6,41.9,15.7
7,47.3,15.7
8,52.7,15.7
9,58.1,15.7
10,63.5,15.7
11,68.9,15.7
12,74.3,15.7
13,79.7,15.7
14,85.1,15.7
15,15,31.6
16,20.3,31.6
17,25.7,31.6
18,31.1,31.6
19,36.5,31.6
20,41.9,31.6
21,47.3,31.6
22,52.7,31.6
23,58.1,31.6
24,63.5,31.6
25,68.9,31.6
26,74.3,31.6
27,85.1,31.6
28,4.1,47.5
29,9.5,47.5
30,15,47.5
31,20.3,47.5
32,25.7,47.5
33,31.1,47.5
34,36.5,47.5
35,41.9,47.5
36,47.3,47.5
37,52.7,47.5
38,58.1,47.5
39,63.5,47.5
40,68.9,47.5
41,74.3,47.5
42,9.5,14.2
43,9.5,17
44,9.5,21.2
45,9.5,25.9
46,9.5,30.1
47,9.5,33
48,9.5,37.1
49,9.5,41.9
50,79.7,46
51,79.7,48.9
52,79.7,30.1
53,79.7,33
54,79.7,37.1
55,79.7,41.9
