vehicle_id,path_id,time
1,47,6:05
2,46,6:22
3,45,6:36
4,44,6:45
5,43,6:57
6,42,7:03
7,41,7:04
8,40,7:30
9,39,7:36
10,38,7:38
11,51,7:43
12,52,7:54
13,56,7:56
14,57,8:02
15,58,8:05
16,62,8:06
17,63,8:10
18,64,8:11
19,48,8:15
20,49,8:18
21,50,8:20
22,53,8:23
23,54,8:24
24,55,8:32
25,59,8:35
26,60,8:36
27,61,8:37
28,37,8:38
29,36,8:40
30,35,8:41
31,31,8:43
32,30,8:45
33,29,8:46
34,25,8:47
35,24,8:48
36,23,8:50
37,19,8:52
38,18,8:53
39,17,8:55
40,34,8:58
41,33,9:01
42,32,9:03
43,28,9:06
44,27,9:09
45,26,9:10
46,22,9:13
47,21,9:15
48,20,9:16
49,16,9:20
50,15,9:22
51,14,9:23
52,13,9:24
53,12,9:25
54,11,9:27
55,10,9:29
56,9,9:43
57,8,10:23
58,7,11:05
59,6,11:23
60,5,11:37
61,4,11:49
